symbol,count
S4_NA_W0_P4,834
S0_NA_W0_P4,779
S1_NA_W0_P4,772
S3_NA_W3_P1,618
S2_NA_W0_P4,595
S2_NA_W4_P0,593
S4_NA_W3_P1,531
S3_NA_W4_P0,529
S3_NA_W0_P4,528
S1_NA_W4_P0,481
S0_NA_W0_P3,474
S1_NA_W0_P0,464
S4_NA_W4_P0,450
S0_NA_W3_P1,446
S0_NA_W4_P0,436
S0_NA_W0_P0,434
S4_NA_W0_P3,426
S2_NA_W3_P1,415
S2_NA_W0_P0,415
S2_NA_W3_P2,401
S1_NA_W0_P3,400
S3_NA_W3_P2,399
S1_NA_W3_P1,390
S4_NA_W2_P2,373
S4_NA_W4_P1,371
S1_NA_W3_P2,358
S3_NA_W4_P1,358
S3_NA_W2_P2,356
S0_NA_W2_P2,351
S1_NA_W2_P2,351
S2_NA_W4_P1,349
S0_NA_W3_P2,349
S2_NA_W0_P3,342
S2_NA_W2_P2,331
S1_NA_W4_P1,317
S0_NA_W4_P1,316
S3_NA_W0_P0,294
S4_NA_W3_P2,283
S4_NA_W2_P3,263
S2_NA_W1_P3,262
S1_NA_W1_P3,262
S2_NA_W2_P3,248
S4_NA_W1_P3,244
S0_NA_W1_P3,238
S1_NA_W2_P3,234
S3_NA_W2_P3,232
S0_NA_W2_P3,231
S3_NA_W0_P3,223
S3_NA_W1_P3,211
NA_NA_W0_P4,172
S4_NA_W2_P1,144
S3_NA_W2_P1,140
NA_NA_W0_P0,118
S3_NA_W3_P0,115
S4_NA_W1_P4,112
S0_NA_W1_P2,107
S1_NA_W0_P2,103
S2_NA_W0_P2,101
S3_NA_W1_P2,99
S4_NA_W0_P2,93
S0_NA_W0_P2,91
S4_NA_W1_P2,86
S4_NA_W3_P0,85
S3_NA_W1_P4,83
S1_NA_W1_P2,80
S2_NA_W1_P2,77
S2_NA_W2_P1,75
S3_NA_W0_P2,72
S4_NA_W2_P4,70
S0_NA_W1_P4,65
S1_NA_W2_P1,64
S0_NA_W2_P1,62
S2_NA_W1_P4,62
NA_NA_W0_P3,61
S1_NA_W1_P4,59
S3_NA_W2_P4,50
S3_NA_W3_P3,49
S2_NA_W3_P0,47
S2_NA_W3_P3,44
S4_NA_W3_P3,38
S1_NA_W2_P4,34
S3_NA_W1_P1,32
S2_NA_W2_P4,31
S3_NA_W2_P0,29
S1_NA_W3_P0,27
S1_NA_W3_P3,26
S0_NA_W3_P3,26
S0_NA_W2_P4,21
S4_NA_W1_P1,21
S2_NA_W1_P1,19
S2_NA_W2_P0,18
S4_NA_W0_P1,16
S3_NA_W0_P1,15
S2_NA_W1_P0,15
S3_NA_W1_P0,15
S0_NA_W3_P0,14
NA_NA_W1_P3,13
S0_NA_W1_P1,13
S1_NA_W2_P0,12
S3_NA_W4_P2,12
