,user_id,trajectory_id
44,11,cl4us4ype001h356pnyet3ts9
55,12,cl4usboop0031356pqrsxb2f6
76,12,cl4x16mfg000r356povntvh44
81,12,cl4xolkrv004o356pdssw4a9x
174,15,cl3jyjbuf006p3r6cmo04geoy
197,15,cl3jzfaz9009h3r6c2pqqbady
212,19,cl3k5ur8t000j3r6cj4lah4gn
214,19,cl3k5uzg8000r3r6crgufjvav
216,19,cl3k5vfqr000y3r6cttf33lc6
218,19,cl3k5wa0n001a3r6c0kq0w4yz
228,19,cl3k87qke00323r6ckcpb0p4u
235,19,cl3keak9x000v3r6cyk4xdhe9
247,21,cl3l9sm3z000g3r6c1mykp9ux
270,21,cl3lhip0q004g3r6cy4brw621
275,21,cl3lhjaff00503r6cfhg41lbh
283,21,cl3lhkr9100643r6c07670105
308,22,ckyx1ir2e001e3p67xsx4qrbg
309,22,ckyx1my69001i3p67ee1tasgm
324,23,cl2yurphq000c3f6ct5e98hvn
392,24,cl4yf032i001f356p2yd4z0tg
407,24,cl4yh7k3r0039356paib9iq4j
449,30,cl2exh1ew000z3g6c561hq8tb
493,35,cl4e3ueop000b356f01i7ldq1
515,36,cl4sba4bd000l356fifxda70f
516,36,cl4sba9h6000p356fizta9ng7
552,36,cl4xuuxyo000n356f8derlp9a
669,54,cl2y7hcvy0037396c6ud7pt1p
674,54,cl2y9is9a0046396chlhjr8w9
680,54,cl2znupsg0005396cminm52kf
718,60,cl2u3r9cd000t396cj2nej9zr
