,user_id,trajectory_id
3,11,ckz6ru5610005386l8uoys4lc
4,11,ckz6ru6of0007386lhf2t4dtw
6,11,ckz6ru99l000b386l18xh2byu
14,11,ckz6rup8s000r386lkjotnoh0
18,11,ckz6ruzco0013386lo3nqjmle
30,11,cl4ssee0s0008356hd15z4qn8
31,11,cl4ssegqi000c356hwxoota92
34,11,cl4uq6b5l0003356p4ou3mrfw
40,11,cl4ur3vs8000v356pe031p1yo
45,11,cl4us8aru001l356p2sc1k1bh
50,12,cl4usbdkt002e356pzvsr14tx
53,12,cl4usblrm002t356p6kxea2n0
65,12,cl4w68esd0003356pk1jpkknr
68,12,cl4w7c4c2000n356p72nbbpg2
73,12,cl4wf5h0u004r356hwjzzj19a
76,12,cl4x16mfg000r356povntvh44
79,12,cl4xo85or004c356p6xlu1xiv
103,12,cl4z3dcqg0007356p5g9v8qhz
104,13,ckz3vqjlf000b3867lm528m2k
119,13,cl4wezgys001w356h3eszw0sw
140,13,cl4wf0afy004a356hkdxgi7g3
144,13,cl4xlxfld000b356pb00h5yfx
157,13,cl4xn5yk20024356p3e6e065p
163,13,cl4xnqgcw0038356pcbnyu55d
173,15,ckz3vrae0000f3867229d9uf9
176,15,cl3jyjirk006x3r6c8cantkc1
180,15,cl3jyjxya007d3r6c1mordt7r
181,15,cl3jykglr007h3r6cenftbah7
182,15,cl3jykk29007l3r6ci46ldy36
183,15,cl3jyknud007p3r6cndynxu40
184,15,cl3jyks00007t3r6cqyitm730
185,15,cl3jykvab007x3r6crwwlde72
187,15,cl3jyl6c200853r6c9m4njl4w
189,15,cl3jyn60x008d3r6cku0rkrip
190,15,cl3jyn97i008h3r6culswt5n8
191,15,cl3jyo2e4008l3r6ce4fu6kem
192,15,cl3jyqf4u008t3r6cb8djnuyz
200,15,cl3k0u23x009t3r6cppaivuyn
203,15,cl3k0ueqa00a53r6ckl4xduum
205,15,cl3k103yd00ah3r6cjm0f53ob
206,15,cl3k108u000al3r6czwlj6am5
213,19,cl3k5uu70000n3r6ciahwog5w
219,19,cl3k5weaf001e3r6cyh227f96
252,21,cl3l9tt8f001c3r6cq5l0hgob
267,21,cl3lhgwiz00443r6cqe7vvf2k
280,21,cl3lhk6ae005o3r6cuxdrdr7u
284,21,cl3lhkukf00683r6cqecge7xc
285,21,cl3lhkz8h006c3r6cua0q7ub0
286,21,cl3lhl5xp006h3r6cniqq2oe4
310,22,ckyx1t1c2001q3p6769mv3eh9
363,24,cl4xshvhj00el356pzxdhl1hc
379,24,cl4xsiofb00gh356pv0fk2ton
381,24,cl4xsiqzp00go356ps1k0imcg
382,24,cl4xsirz300gs356phx3arwpe
384,24,cl4ye76bf0003356p49hbaah8
419,29,ckz3w0j4d00133867psu0dku8
420,29,cl1xj98o800033f6bbzcyndpi
421,29,cl1xj9dfe00073f6bo87qdh30
422,29,cl1xj9ksa000b3f6bvr1hgnfn
423,29,cl1xjb311000g3f6b7y8tt576
424,29,cl1xjb8ci000k3f6bjjkf3trc
425,29,cl1xjcojq000o3f6b4ewbxdvb
426,29,cl1xjcsw3000s3f6b3gcs37qc
453,30,cl2k88mdi000n3g6cm4ynh2gx
469,35,cl4dn26v7001o356fc38c9lns
492,35,cl4e3u41h0007356fsnvcg4ia
494,35,cl4e3ukq4000e356ff34zwnrn
496,35,cl4e3uxro000k356fp9gecmfy
498,35,cl4e3vgyt000s356fzpl4rmbp
499,35,cl4e3vohl000v356fy39mbucz
502,35,cl4e3wa6j0015356f6i69u7c1
503,35,cl4e3wjdu0019356fnueqbfih
504,35,cl4e3x3xe001c356fioyxs0uv
532,36,cl4sbk8io002f356fwmcd3pjv
576,36,cl4z8hh2u00073b6f6317ib98
577,36,cl4z8hm9k000b3b6fuxp3lqdx
612,52,cl1x87vu400073f6bz31cj9hl
615,52,cl1x89ze6000o3f6baic4zklo
618,52,cl1x8p7bu00193f6b9qrfgs1t
619,52,cl1x8pz2c001e3f6baljsd3f1
624,52,cl1x8qm6k00203f6bhtj7t6h9
629,52,cl1x9tim6002r3f6bnk8nzm3n
631,52,cl1x9ts9b002z3f6b0pi7kuyi
637,52,cl1x9v1p4003m3f6bem40q8rb
641,52,cl1xa59ta00473f6b7ox9kdpq
642,52,cl1xa5wph004c3f6bop56jnp9
667,54,cl2y75jjc002x396cvyzjiqsk
671,54,cl2y7xe87003h396c2n8hv156
686,54,cl2zny5y5001c396cjw8l8war
687,54,cl2znycyz001g396cwpsh1fpn
689,54,cl2zogjmc001p396clblhoug4
690,54,cl2zogo0e001t396cagx04dw7
691,54,cl2zogsca001x396cm1lqtvrw
693,54,cl2zoh1q10026396ccr8og9at
694,54,cl2zoha2s002a396cu2ma50sw
695,54,cl2zojo2h002e396c7qt651e5
696,54,cl2zojswm002i396chs5urjya
697,54,cl2zok2ke002m396c0272jqkb
701,54,cl696haqz00073b6gf0un301j
702,54,cl696kim5000j3b6g3waaz3ij
703,54,cl696ldsk000n3b6g3cevz2tg
704,54,cl696lj76000r3b6gbse56a1a
719,60,cl2u3skfg0011396co4urj4aj
720,60,cl2u3sxy20015396c6p2mtiap
723,60,cl2ucr50d000h396cr0l8f9ez
725,60,cl2ucrs1x000p396c2z3axlap
726,60,cl2ucsqmg000t396cytb7tb1r
