Cluster,Atributo,P_Valor_OvR,P_Valor_Global,Diferença_Percentual,Mediana_Cluster,Mediana_Resto,Direcao
0_0,"Serum C20:5 n-3  (eicosapentaenoic acid, EPA)",0.0012656566940544647,8.832832656189946e-05,-19.01840490797545,1.32,1.63,Menor
0_0,Serum C20:3 n-6,0.005428939922717469,1.949866077174812e-05,18.900343642611677,3.46,2.91,Maior
0_0,"Serum Luteinizing hormone, LH (IU/L)",0.009089827825527773,5.560692483345355e-08,-17.619047619047624,3.46,4.2,Menor
0_0,"DNA fragmentation index, DFI (%)",0.00912189462539232,4.703045746122669e-08,33.33333333333333,24.0,18.0,Maior
0_0,Sperm C20:3 n-6,0.015582702695347861,1.468899460159025e-05,-10.526315789473681,1.7,1.9,Menor
0_0,Immotile sperm (%),0.01597012588272605,3.645640842338557e-24,2.564102564102564,40.0,39.0,Maior
0_0,Non progressive sperm motility (%),0.02479945685233539,6.204920562895849e-09,-18.75,26.0,32.0,Menor
0_0,Sperm C17:0,0.03429297053590181,5.7507270856759996e-08,-33.33333333333333,0.2,0.3,Menor
0_0,Ejaculate volume (mL),0.04401215099484982,6.489273313118119e-08,-52.77777777777778,1.7,3.6,Menor
0_0,Sperm C18:0 (stearic acid),0.04970056449487425,7.466199427066895e-06,-4.597701149425271,8.3,8.7,Menor
0_1,Sperm concentration (x10⁶/mL),4.390675208479343e-09,3.6360612533823444e-15,82.31292517006804,53.6,29.4,Maior
0_1,Total sperm count (x10⁶),2.1672985612201976e-08,1.9182407817448182e-11,21.93798449612404,157.3,129.0,Maior
0_1,"High DNA stainability, HDS (%)",1.6545492275837467e-06,2.5683831584647713e-08,-30.0,7.0,10.0,Menor
0_1,Age (years),4.139624818060809e-06,3.0808556681258097e-09,31.428571428571427,46.0,35.0,Maior
0_1,Sperm C17:0,4.6824491020899895e-06,5.7507270856759996e-08,-33.33333333333333,0.2,0.3,Menor
0_1,"Serum C18:2 n-6 (linoleic acid, LA)",9.430070722550586e-06,0.00017680389777704445,11.201143946615815,23.33,20.98,Maior
