,Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Serum total testosterone (nmol/L),"Serum Luteinizing hormone, LH (IU/L)","Serum sex hormone-binding globulin, SHBG (nmol/L)","Serum anti-Müllerian hormone, AMH (pmol/L)",Serum inhibin B (ng/L),"Serum follicle-stimulating hormone, FSH (IU/L)",Serum oestradiol (nmol/L)
0_0,37.0,16.4,3.46,24.0,30.0,170.0,4.68,0.14
0_1,37.0,11.3,3.5,24.0,30.0,170.0,4.68,0.14
0_3,7.0,20.549999999999997,4.05,27.5,31.0,162.0,4.8,0.14
1_0,131.0,25.8,8.9,39.0,38.0,194.0,4.68,0.18
1_1,28.0,16.4,4.6,24.0,28.0,139.0,4.8,0.14
1_3,28.0,12.8,4.6,24.0,30.0,154.0,4.68,0.14
1_4,52.0,12.8,5.04,24.0,24.0,118.0,6.02,0.14
2_1,17.0,14.6,4.15,29.0,31.0,166.5,4.6,0.14
2_3,11.0,15.899999999999999,4.6,22.0,29.0,118.0,4.8,0.15
2_4,1.0,12.8,3.19,23.0,38.0,170.0,4.6,0.14
3_0,69.0,16.4,3.5,31.0,32.0,163.0,4.1,0.15
3_1,28.0,18.4,5.04,31.0,32.0,154.0,4.8,0.14
3_3,28.0,25.1,4.15,31.0,32.0,172.0,4.8,0.15
3_4,84.0,21.1,3.825,32.0,34.0,162.0,4.68,0.16999999999999998
4_0,7.0,17.2,4.6,31.0,29.0,139.0,5.78,0.14
4_1,27.0,17.2,5.04,23.0,28.0,139.0,4.8,0.14
4_2,59.0,17.799999999999997,3.46,30.0,24.5,170.0,4.68,0.15
4_3,28.0,17.2,4.6,30.0,33.0,139.0,4.8,0.14
