atributo,cluster,U,p_bruto,p_ajustado_FDR_por_atributo,significativo,efeito_r,mediana_cluster,mediana_resto,direcao
Serum C14:0 (myristic acid),0_0,11838.5,0.06812945625171969,0.2064193844697011,False,0.06331101375382255,0.26,0.26,Igual
Serum C14:0 (myristic acid),0_1,35280.0,0.10354750506188891,0.22003844825651395,False,0.05649431472004624,0.26,0.26,Igual
Serum C14:0 (myristic acid),0_3,8984.0,0.27251348703469835,0.42115720723544287,False,0.03809175673194584,0.265,0.26,Maior
Serum C14:0 (myristic acid),1_1,21937.0,0.053552424911513304,0.2064193844697011,False,-0.06699329655300633,0.26,0.26,Igual
Serum C14:0 (myristic acid),1_3,39914.5,0.25117065464317734,0.42115720723544287,False,-0.03982450560803221,0.26,0.26,Igual
Serum C14:0 (myristic acid),1_4,9686.5,0.0018702638551657208,0.03179448553781725,True,-0.10792926173019285,0.26,0.26,Igual
Serum C14:0 (myristic acid),2_1,9701.5,0.3135070331083303,0.44413496357013454,False,-0.03498704270485238,0.25,0.26,Menor
Serum C14:0 (myristic acid),2_3,8358.5,0.025686967440866272,0.14555948216490885,False,0.07742887264325062,0.27,0.26,Maior
Serum C14:0 (myristic acid),2_4,16879.0,0.08612312013656191,0.20915614890307893,False,-0.0595612245467808,0.22,0.26,Menor
Serum C14:0 (myristic acid),3_0,4451.5,0.923162766555772,0.923162766555772,False,0.0033696332730116262,0.25,0.26,Menor
Serum C14:0 (myristic acid),3_1,35349.5,0.22775320774795815,0.42115720723544287,False,-0.04186022893162713,0.25,0.26,Menor
Serum C14:0 (myristic acid),3_3,18142.0,0.8539005859519141,0.9072693725739087,False,0.006400907607119901,0.25,0.26,Menor
Serum C14:0 (myristic acid),3_4,1837.0,0.6150865758526369,0.7468908421067735,False,0.017485271770658256,0.255,0.26,Menor
Serum C14:0 (myristic acid),4_0,42030.0,0.008031316717418304,0.06826619209805558,False,0.09198563545590714,0.26,0.26,Igual
Serum C14:0 (myristic acid),4_1,7072.5,0.676461541706564,0.7666564139341059,False,-0.014497188302225926,0.24,0.26,Menor
