atributo,pos_teste,cluster_a,cluster_b,estatistica,p_bruto,p_ajustado,significativo,dif_mediana_a_minus_b,n_a,n_b
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),0_0,0_1,-1.1718098143026816,0.241273421500658,0.3815486665591801,False,0.0,25,89
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),0_0,0_3,1.0834633283048916,0.27860281963156264,0.41637344472409366,False,30.0,25,20
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),0_0,1_1,-0.17729209728286266,0.8592789579221999,0.9059064982745674,False,9.0,25,69
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),0_0,1_3,0.4971914146411205,0.619054075116098,0.7517085197838334,False,9.0,25,125
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),0_0,1_4,-0.6780076442048185,0.4977668464491368,0.6447265820674534,False,-15.0,25,36
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),0_0,2_1,1.677350594016686,0.09347394448148082,0.20178502300764112,False,20.0,25,28
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),0_0,2_3,1.4860385498813042,0.13726892459534176,0.2531158223716942,False,26.0,25,16
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),0_0,2_4,2.839268500598123,0.004521709153266926,0.027952383856559175,True,36.0,25,52
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),0_0,3_0,-1.847288098968203,0.06470539685592892,0.16296174022974694,False,-32.0,25,11
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),0_0,3_1,-0.5168224371679099,0.6052801158040657,0.7470126130630346,False,9.0,25,109
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),0_0,3_3,0.0787165451361233,0.937258085200095,0.9656598453576737,False,9.0,25,47
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),0_0,3_4,-0.8274140404074379,0.4080024252200587,0.5548832982992797,False,-47.0,25,4
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),0_0,4_0,1.6401402357190804,0.10097601218311422,0.20496623368512737,False,30.0,25,103
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),0_0,4_1,1.272887763331089,0.20305787205447468,0.3351038656153377,False,10.0,25,19
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),0_0,4_2,-2.3386249893730224,0.019354850338047284,0.06926999068353765,False,-22.0,25,26
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),0_0,4_3,0.02691335879969102,0.9785288385960528,0.9785288385960528,False,9.0,25,27
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),0_1,0_3,2.38537448067429,0.017061743618407805,0.06271343600279626,False,30.0,89,20
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),0_1,1_1,1.3956015284147512,0.16283452193847348,0.2827806118385186,False,9.0,89,69
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),0_1,1_3,2.697832963346174,0.006979245054535344,0.03389919026488596,True,9.0,89,125
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),0_1,1_4,0.4492214426304921,0.6532719207179528,0.7529235696410304,False,-15.0,89,36
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),0_1,2_1,3.3541945048408057,0.0007959639079159572,0.0072115596682893225,True,20.0,89,28
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),0_1,2_3,2.72887192936288,0.006355137989896515,0.03294569943752871,True,26.0,89,16
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),0_1,2_4,5.478442138157297,4.29086854234378e-08,2.9177906087937703e-06,True,36.0,89,52
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),0_1,3_0,-1.2613543700243437,0.20718120044248756,0.335436229287837,False,-32.0,89,11
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),0_1,3_1,1.05440147748359,0.2916991461185664,0.42657079432392503,False,9.0,89,109
