Cluster,Attribute,P-Value,Direction,Median_Cluster,Median_Rest
0_0,"Serum C20:5 n-3  (eicosapentaenoic acid, EPA)",0.0012656566940544647,Lower,1.32,1.63
0_0,Serum C20:3 n-6,0.005428939922717469,Higher,3.46,2.91
0_0,"Serum Luteinizing hormone, LH (IU/L)",0.009089827825527773,Lower,3.46,4.2
0_0,"DNA fragmentation index, DFI (%)",0.00912189462539232,Higher,24.0,18.0
0_0,Sperm C20:3 n-6,0.015582702695347861,Lower,1.7,1.9
0_0,Immotile sperm (%),0.01597012588272605,Higher,40.0,39.0
0_0,Non progressive sperm motility (%),0.02479945685233539,Lower,26.0,32.0
0_0,Sperm C17:0,0.03429297053590181,Lower,0.2,0.3
0_0,Ejaculate volume (mL),0.04401215099484982,Lower,1.7,3.6
0_0,Sperm C18:0 (stearic acid),0.04970056449487425,Lower,8.3,8.7
0_1,Sperm concentration (x10⁶/mL),4.390675208479343e-09,Higher,53.6,29.4
0_1,Total sperm count (x10⁶),2.1672985612201976e-08,Higher,157.3,129.0
0_1,"High DNA stainability, HDS (%)",1.6545492275837467e-06,Lower,7.0,10.0
0_1,Age (years),4.139624818060809e-06,Higher,46.0,35.0
0_1,Sperm C17:0,4.6824491020899895e-06,Lower,0.2,0.3
0_1,"Serum C18:2 n-6 (linoleic acid, LA)",9.430070722550586e-06,Higher,23.33,20.98
0_1,Serum C16:1 (palmitoleic acid),1.0086283634177368e-05,Lower,0.4,0.45
0_1,"Serum C18:3 n-6 (gamma-linoleic acid, GLA)",1.2909526718954962e-05,Higher,0.23,0.16
0_1,Sperm C15:0 (pentadecanoic acid),0.00012090458291291217,Lower,0.2,0.2
0_1,Abstinence time(days),0.00013540298294578845,Lower,2.75,3.0
0_1,Sperm C22:0,0.0002196842322945648,Higher,2.0,1.7
0_1,Progressive motility (%),0.00022709871540341927,Higher,35.0,30.0
0_1,Ejaculate volume (mL),0.00032479894435180823,Lower,2.6,4.1
0_1,"Sperm C18:3 n-6 (gamma-linoleic acid, GLA)",0.00035605269193174664,Lower,0.03,0.04
0_1,Serum C18:0 (stearic acid),0.0004646035365783367,Higher,15.76,15.34
0_1,Non progressive sperm motility (%),0.000580799993777886,Lower,30.0,32.0
0_1,Midpiece and neck defects (%),0.0006319470234511179,Lower,25.5,30.5
0_1,Serum total testosterone (nmol/L),0.001019611370622732,Lower,11.3,17.2
0_1,Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),0.0010692929955482718,Higher,37.0,27.0
0_1,Sperm C20:3 n-6,0.0013684769324825978,Lower,1.8,1.9
0_1,"Serum C20:5 n-3  (eicosapentaenoic acid, EPA)",0.00161684219837456,Lower,1.32,1.63
0_1,Sperm C14:0 (myristic acid),0.002618461026572061,Higher,1.8,1.6
0_1,Serum C16:0 (palmitic acid),0.003463839251984068,Lower,29.15,29.15
0_1,Serum C18:1 n-9 (oleic acid),0.005456966082765112,Lower,7.82,8.32
0_1,Sperm C24:0,0.012343407161939792,Lower,1.2,1.4
0_1,Serum C20:3 n-6,0.016312918356345185,Lower,2.91,2.91
0_1,Serum total C18:1,0.02046926446794421,Lower,9.7,10.0
0_1,Sperm C16:1 n-7 (palmitoleic acid),0.0295028293692961,Higher,1.4,1.3
0_1,Body mass index (kg/m²),0.0300292786079051,Higher,34.1,29.3
0_1,Sperm C18:0 (stearic acid),0.03480768276896028,Lower,8.3,8.8
0_3,Abstinence time(days),0.014319995366924397,Lower,2.5,3.0
0_3,Sperm C15:0 (pentadecanoic acid),0.022798021843378948,Lower,0.2,0.2
0_3,"Sperm C18:2 n-6 (Linoleic acid, LA)",0.026107848829274055,Lower,3.7,3.7
0_3,Cytoplasmic droplet (%),0.043011505800014616,Higher,7.0,5.0
0_3,Sperm C22:0,0.048198835190975516,Higher,2.0,1.7
1_1,Sperm C20:0,0.025679626248355535,Higher,0.7,0.6
1_1,Sperm C24:1 n-9,0.02980821787063227,Lower,1.7,1.7
1_1,Body mass index (kg/m²),0.030618443842943384,Higher,30.9,29.25
1_1,Abstinence time(days),0.04355323419164496,Lower,3.0,3.0
1_1,"Serum C18:3 n-6 (gamma-linoleic acid, GLA)",0.04565601671800727,Lower,0.15,0.16
1_3,Progressive motility (%),2.5994188035288744e-06,Higher,33.0,26.0
1_3,Immotile sperm (%),4.863643319867521e-06,Lower,37.0,39.0
1_3,Sperm C18:1 n-7 to n-11,1.402643493271715e-05,Lower,2.3,2.4
1_3,Sperm C24:1 n-9,7.62481436031584e-05,Lower,1.7,1.7
1_3,Body mass index (kg/m²),9.617525798122547e-05,Higher,31.7,29.2
1_3,Serum C20:2 n-6,0.00015730372504632825,Lower,0.29,0.31
1_3,"Sperm C20:5 n-3 (eicosapentaenoic acid, EPA)",0.00020498914264231827,Higher,0.08,0.07
1_3,Serum total C18:1,0.0006374741631764256,Lower,9.7,10.0
1_3,Sperm C20:4 n-6 and C22:1 n-9 combined,0.0014424591829214901,Higher,2.5,2.4
1_3,"Serum sex hormone-binding globulin, SHBG (nmol/L)",0.003106887218266774,Lower,24.0,29.0
1_3,Serum C18:1 n-9 (oleic acid),0.003415582024947064,Lower,7.82,8.32
1_3,Serum total testosterone (nmol/L),0.004895772901245254,Lower,12.8,17.2
1_3,"Sperm C18:2 n-6 (Linoleic acid, LA)",0.005908741973600462,Lower,3.6,3.7
1_3,Sperm C20:2 n-6,0.00934268495589738,Lower,0.5,0.5
1_3,Sperm C20:0,0.010448019843876322,Lower,0.6,0.6
1_3,"Serum C22:6 n-3 (docosahexaenoic acid, DHA)",0.026697959267421932,Lower,5.92,5.92
1_3,"Serum C20:5 n-3  (eicosapentaenoic acid, EPA)",0.046609327285092206,Higher,2.15,1.63
1_4,"Serum C22:6 n-3 (docosahexaenoic acid, DHA)",1.7472527754913764e-05,Higher,8.44,5.92
1_4,"Serum anti-Müllerian hormone, AMH (pmol/L)",8.232668865977855e-05,Lower,24.0,30.0
1_4,Body mass index (kg/m²),0.00011702376202671909,Higher,31.7,29.2
1_4,Serum C18:1 n-9 (oleic acid),0.00017644321667658786,Lower,7.68,8.32
1_4,Sperm C24:1 n-9,0.0005614756996899354,Higher,2.1,1.7
1_4,Serum C20:3 n-6,0.0006919310228252594,Lower,2.65,2.91
1_4,Serum C16:1 (palmitoleic acid),0.0009037072781182408,Lower,0.37,0.42
1_4,Serum total C18:1,0.0015609318230248468,Lower,9.7,10.0
1_4,"Sperm C22:6,n3 (docosahexaenoic acid, DHA)",0.0016980015218289813,Lower,16.05,20.1
1_4,Serum C14:0 (myristic acid),0.0018702638551657208,Lower,0.26,0.26
1_4,Sperm C20:1 n-9,0.0019867135406794892,Higher,0.5,0.4
1_4,"Serum C18:3 n-6 (gamma-linoleic acid, GLA)",0.002153164881483113,Lower,0.15,0.16
1_4,Serum C20:1 n-9,0.0030520673583738236,Higher,0.15,0.14
1_4,Immotile sperm (%),0.005940139053117216,Lower,29.0,39.0
1_4,"Serum C20:5 n-3  (eicosapentaenoic acid, EPA)",0.007049978469229866,Higher,2.15,1.63
1_4,Sperm C20:0,0.007562260689029133,Higher,0.9,0.6
1_4,Tail defects (%),0.010699387804925149,Higher,20.5,15.0
1_4,"Sperm C18:3 n-6 (gamma-linoleic acid, GLA)",0.023857939703660725,Higher,0.05,0.04
1_4,Sperm C18:1 n-9 (oleic acid),0.024546065204649473,Higher,18.8,13.2
1_4,Sperm C24:0,0.026224966315316737,Higher,1.65,1.2
1_4,Age (years),0.028226169429569858,Higher,41.0,35.0
1_4,"Serum C22:5 n-3 (docosapentaenoic acid, DPA)",0.028845278532810506,Higher,1.35,1.25
1_4,Serum oestradiol (nmol/L),0.03525239608677617,Lower,0.14,0.14
1_4,Sperm C18:1 trans n-6 to n-11,0.04226231447466169,Higher,1.3,1.1
1_4,Progressive motility (%),0.0436765023045944,Higher,33.0,30.0
2_1,"Serum C18:3 n-6 (gamma-linoleic acid, GLA)",0.00018462202012417637,Higher,0.28,0.16
2_1,Immotile sperm (%),0.0003233913412863258,Lower,34.0,39.0
2_1,"Sperm C18:2 n-6 (Linoleic acid, LA)",0.0005421250132994625,Lower,3.5,3.7
2_1,Sperm C20:0,0.0006463821693014454,Lower,0.5,0.6
2_1,"Sperm C22:6,n3 (docosahexaenoic acid, DHA)",0.000834821916222097,Higher,25.0,20.1
2_1,"DNA fragmentation index, DFI (%)",0.0008864342422437451,Lower,11.0,19.0
2_1,Sperm C18:1 n-7 to n-11,0.0015883282678796661,Lower,2.3,2.4
2_1,Total sperm count (x10⁶),0.003983889887512607,Higher,213.9,136.1
2_1,Ejaculate volume (mL),0.004134771944719939,Higher,6.4,3.6
2_1,Sperm C24:0,0.007294596545681017,Lower,1.2,1.4
2_1,Age (years),0.009339946673390496,Lower,31.0,35.0
2_1,"Serum follicle-stimulating hormone, FSH (IU/L)",0.013595960457693016,Lower,4.6,4.68
2_1,Sperm C14:0 (myristic acid),0.01884765726161034,Lower,1.3,1.7
2_1,"Serum C22:5 n-3 (docosapentaenoic acid, DPA)",0.028079483471760015,Lower,1.18,1.25
2_1,Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),0.031396246998569174,Lower,17.0,28.0
2_1,Sperm C18:1 n-9 (oleic acid),0.04282675041672261,Lower,10.9,13.2
2_1,"Serum Luteinizing hormone, LH (IU/L)",0.04356558306837264,Lower,4.15,4.2
2_3,Progressive motility (%),0.00010773562563640736,Higher,38.0,30.0
2_3,Sperm C18:1 n-7 to n-11,0.0038442227142750996,Lower,2.1,2.4
2_3,Immotile sperm (%),0.004888397247933198,Lower,31.0,39.0
