,trajectory_id,symbolic_movement_10,cluster
0,ckyw6zzlj001r3867thf0fuy7,"['Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Norte', 'Muito_Rapido_Norte', 'Muito_Rapido_Norte', 'Muito_Rapido_Oeste', 'Muito_Rapido_Oeste', 'Muito_Rapido_Oeste', 'Muito_Rapido_Sul', 'Muito_Rapido_Sul', 'Muito_Rapido_Sul', 'Muito_Rapido_Sul', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Norte', 'Muito_Rapido_Norte', 'Muito_Rapido_Oeste', 'Muito_Rapido_Oeste', 'Muito_Rapido_Oeste', 'Muito_Rapido_Oeste', 'Muito_Rapido_Sul', 'Muito_Rapido_Sul', 'Muito_Rapido_Sul', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Norte', 'Muito_Rapido_Norte', 'Muito_Rapido_Norte', 'Muito_Rapido_Oeste', 'Muito_Rapido_Oeste', 'Muito_Rapido_Oeste', 'Muito_Rapido_Oeste', 'Muito_Rapido_Sul', 'Muito_Rapido_Sul', 'Muito_Rapido_Sul', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Norte', 'Muito_Rapido_Norte', 'Muito_Rapido_Norte', 'Muito_Rapido_Norte', 'Muito_Rapido_Oeste', 'Muito_Rapido_Oeste', 'Muito_Rapido_Oeste', 'Muito_Rapido_Oeste', 'Muito_Rapido_Sul', 'Muito_Rapido_Sul', 'Muito_Rapido_Sul', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Norte', 'Muito_Rapido_Norte', 'Muito_Rapido_Norte', 'Muito_Rapido_Norte', 'Muito_Rapido_Oeste', 'Muito_Rapido_Oeste', 'Muito_Rapido_Oeste', 'Muito_Rapido_Oeste', 'Muito_Rapido_Oeste', 'Muito_Rapido_Oeste', 'Muito_Rapido_Sul', 'Muito_Rapido_Sul']",2
1,ckyw704kw001v3867kvyjtx6k,"['Muito_Rapido_Oeste', 'Muito_Rapido_Oeste', 'Muito_Rapido_Sul', 'Muito_Rapido_Sul', 'Muito_Rapido_Sul', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Norte', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Norte', 'Muito_Rapido_Norte', 'Muito_Rapido_Norte', 'Muito_Rapido_Oeste', 'Muito_Rapido_Oeste', 'Muito_Rapido_Oeste', 'Muito_Rapido_Sul', 'Muito_Rapido_Sul', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Norte', 'Muito_Rapido_Norte', 'Muito_Rapido_Oeste', 'Muito_Rapido_Oeste', 'Muito_Rapido_Oeste', 'Muito_Rapido_Oeste', 'Muito_Rapido_Sul', 'Muito_Rapido_Sul', 'Muito_Rapido_Sul', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Norte', 'Muito_Rapido_Norte', 'Muito_Rapido_Oeste', 'Muito_Rapido_Oeste', 'Muito_Rapido_Oeste', 'Muito_Rapido_Oeste', 'Muito_Rapido_Sul', 'Muito_Rapido_Oeste', 'Muito_Rapido_Oeste', 'Muito_Rapido_Oeste', 'Muito_Rapido_Norte', 'Muito_Rapido_Norte', 'Muito_Rapido_Leste', 'Muito_Rapido_Norte', 'Muito_Rapido_Oeste', 'Muito_Rapido_Oeste', 'Muito_Rapido_Oeste', 'Muito_Rapido_Oeste', 'Muito_Rapido_Oeste', 'Muito_Rapido_Sul', 'Muito_Rapido_Sul', 'Muito_Rapido_Leste', 'Muito_Rapido_Sul', 'Muito_Rapido_Leste', 'Muito_Rapido_Sul', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Sul', 'Muito_Rapido_Sul', 'Muito_Rapido_Sul', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Norte', 'Muito_Rapido_Norte', 'Muito_Rapido_Norte']",2
2,ckyw708pn001z386779fr849h,"['Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Oeste', 'Rapido_Oeste', 'Medio_Sul', 'Medio_Sul', 'Medio_Sul', 'Medio_Sul', 'Medio_Sul', 'Medio_Sul', 'Medio_Sul', 'Lento_Norte', 'Lento_Norte', 'Lento_Norte', 'Lento_Norte', 'Lento_Norte', 'Lento_Norte', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Lento_Sul', 'Lento_Sul', 'Lento_Sul', 'Lento_Sul', 'Lento_Sul', 'Lento_Sul', 'Lento_Sul', 'Lento_Sul', 'Lento_Sul', 'Lento_Sul', 'Lento_Sul', 'Lento_Sul', 'Lento_Sul', 'Lento_Sul', 'Lento_Sul', 'Lento_Sul', 'Lento_Sul', 'Lento_Sul', 'Lento_Sul', 'Lento_Sul', 'Lento_Sul', 'Lento_Sul', 'Lento_Sul', 'Lento_Sul', 'Lento_Sul', 'Lento_Sul', 'Lento_Sul', 'Lento_Sul', 'Lento_Sul', 'Muito_Lento_Sul', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste']",0
3,ckyw7dzmx00273867fyj9lsnv,"['Muito_Rapido_Norte', 'Muito_Rapido_Norte', 'Muito_Rapido_Norte', 'Muito_Rapido_Oeste', 'Muito_Rapido_Oeste', 'Muito_Rapido_Oeste', 'Muito_Rapido_Oeste', 'Muito_Rapido_Sul', 'Muito_Rapido_Sul', 'Muito_Rapido_Sul', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Norte', 'Muito_Rapido_Norte', 'Muito_Rapido_Norte', 'Muito_Rapido_Oeste', 'Muito_Rapido_Oeste', 'Muito_Rapido_Oeste', 'Muito_Rapido_Oeste', 'Muito_Rapido_Sul', 'Muito_Rapido_Sul', 'Muito_Rapido_Sul', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Norte', 'Muito_Rapido_Norte', 'Muito_Rapido_Oeste', 'Muito_Rapido_Oeste', 'Muito_Rapido_Oeste', 'Muito_Rapido_Oeste', 'Muito_Rapido_Oeste', 'Muito_Rapido_Sul', 'Muito_Rapido_Sul', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Norte', 'Muito_Rapido_Norte', 'Muito_Rapido_Norte', 'Muito_Rapido_Norte', 'Muito_Rapido_Oeste', 'Muito_Rapido_Oeste', 'Muito_Rapido_Oeste', 'Muito_Rapido_Sul', 'Muito_Rapido_Sul', 'Muito_Rapido_Sul', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Norte', 'Muito_Rapido_Norte', 'Muito_Rapido_Norte', 'Muito_Rapido_Oeste', 'Muito_Rapido_Oeste', 'Muito_Rapido_Oeste', 'Muito_Rapido_Oeste', 'Muito_Rapido_Sul', 'Muito_Rapido_Sul', 'Muito_Rapido_Sul', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Norte', 'Muito_Rapido_Norte']",2
4,ckyw7e4o6002b3867ibaukox2,"['Rapido_Norte', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Sul', 'Rapido_Leste', 'Rapido_Norte', 'Rapido_Norte', 'Rapido_Leste', 'Rapido_Sul', 'Rapido_Sul', 'Medio_Sul', 'Medio_Sul', 'Medio_Sul', 'Medio_Sul', 'Medio_Sul', 'Medio_Sul', 'Medio_Sul', 'Medio_Sul', 'Rapido_Oeste', 'Rapido_Oeste', 'Rapido_Oeste', 'Rapido_Oeste', 'Rapido_Oeste', 'Rapido_Oeste', 'Rapido_Oeste', 'Rapido_Oeste', 'Rapido_Oeste', 'Medio_Norte', 'Medio_Norte', 'Medio_Norte', 'Medio_Norte', 'Medio_Norte', 'Medio_Norte', 'Medio_Norte', 'Medio_Norte', 'Medio_Norte', 'Medio_Norte', 'Medio_Norte', 'Medio_Norte', 'Medio_Leste', 'Rapido_Leste', 'Medio_Leste', 'Rapido_Norte', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Medio_Leste', 'Medio_Leste', 'Medio_Leste', 'Medio_Leste', 'Medio_Leste', 'Medio_Leste', 'Medio_Leste', 'Medio_Leste', 'Medio_Leste', 'Medio_Leste', 'Medio_Leste', 'Medio_Leste', 'Medio_Leste', 'Medio_Leste', 'Medio_Leste']",3
5,ckyw7e9n0002f3867tn40h1u2,"['Muito_Rapido_Norte', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Sul', 'Muito_Rapido_Sul', 'Muito_Rapido_Sul', 'Muito_Rapido_Sul', 'Muito_Rapido_Sul', 'Muito_Rapido_Sul', 'Muito_Rapido_Oeste', 'Muito_Rapido_Oeste', 'Muito_Rapido_Oeste', 'Muito_Rapido_Oeste', 'Muito_Rapido_Oeste', 'Muito_Rapido_Oeste', 'Muito_Rapido_Oeste', 'Muito_Rapido_Oeste', 'Muito_Rapido_Norte', 'Muito_Rapido_Norte', 'Muito_Rapido_Norte', 'Muito_Rapido_Norte', 'Muito_Rapido_Norte', 'Muito_Rapido_Norte', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Sul', 'Muito_Rapido_Sul', 'Muito_Rapido_Sul', 'Muito_Rapido_Sul', 'Muito_Rapido_Sul', 'Muito_Rapido_Oeste', 'Muito_Rapido_Oeste', 'Muito_Rapido_Oeste', 'Muito_Rapido_Oeste', 'Muito_Rapido_Oeste', 'Muito_Rapido_Oeste', 'Muito_Rapido_Oeste', 'Muito_Rapido_Oeste', 'Muito_Rapido_Norte', 'Muito_Rapido_Norte', 'Muito_Rapido_Norte', 'Muito_Rapido_Norte', 'Muito_Rapido_Norte', 'Muito_Rapido_Norte', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Sul', 'Muito_Rapido_Sul', 'Muito_Rapido_Sul', 'Muito_Rapido_Sul', 'Muito_Rapido_Sul', 'Muito_Rapido_Sul']",2
6,ckyw7qq3p002r3867g7ntncq2,"['Muito_Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Oeste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Sul', 'Rapido_Sul', 'Rapido_Sul', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Oeste', 'Rapido_Leste', 'Muito_Rapido_Leste', 'Rapido_Norte', 'Rapido_Norte', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Norte', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Norte', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Sul', 'Rapido_Norte', 'Rapido_Norte', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Sul', 'Medio_Sul', 'Medio_Sul', 'Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Rapido_Norte', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Norte', 'Rapido_Leste', 'Rapido_Norte', 'Rapido_Norte', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Norte', 'Rapido_Norte', 'Rapido_Leste', 'Rapido_Leste', 'Muito_Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste', 'Rapido_Leste']",3
7,ckyw7vqeb000j3867v1k4y9wh,"['Rapido_Norte', 'Rapido_Norte', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Muito_Lento_Leste', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte', 'Muito_Lento_Norte']",0
8,ckywzs7c60003386lx8xpyitp,"['Rapido_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Oeste', 'Lento_Oeste', 'Lento_Oeste', 'Lento_Oeste', 'Lento_Oeste', 'Lento_Oeste', 'Lento_Oeste', 'Lento_Oeste', 'Lento_Oeste', 'Lento_Oeste', 'Lento_Oeste', 'Lento_Oeste', 'Lento_Oeste', 'Lento_Oeste', 'Lento_Oeste', 'Lento_Oeste', 'Lento_Oeste', 'Lento_Oeste', 'Lento_Oeste', 'Lento_Oeste', 'Lento_Oeste', 'Lento_Oeste', 'Lento_Oeste', 'Lento_Oeste', 'Lento_Oeste', 'Lento_Oeste', 'Lento_Oeste', 'Lento_Oeste', 'Lento_Oeste', 'Lento_Oeste', 'Lento_Oeste', 'Lento_Oeste', 'Lento_Oeste', 'Lento_Oeste', 'Lento_Oeste', 'Lento_Oeste', 'Lento_Oeste', 'Lento_Oeste', 'Lento_Oeste', 'Lento_Oeste', 'Lento_Oeste', 'Lento_Oeste', 'Lento_Oeste', 'Lento_Oeste', 'Lento_Oeste', 'Lento_Oeste', 'Lento_Oeste', 'Lento_Oeste', 'Lento_Oeste', 'Lento_Oeste', 'Lento_Oeste', 'Lento_Oeste', 'Lento_Oeste', 'Lento_Oeste', 'Lento_Oeste', 'Lento_Oeste', 'Lento_Oeste', 'Lento_Oeste', 'Lento_Oeste', 'Lento_Oeste', 'Lento_Oeste', 'Lento_Oeste', 'Lento_Oeste', 'Lento_Oeste', 'Lento_Oeste', 'Lento_Oeste', 'Muito_Lento_Norte', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Lento_Leste', 'Rapido_Oeste']",0
9,ckywzsbvn0006386lup64vzl3,"['Muito_Rapido_Norte', 'Muito_Rapido_Sul', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Leste', 'Muito_Rapido_Sul', 'Muito_Rapido_Leste', 'Muito_Rapido_Sul', 'Muito_Rapido_Sul', 'Muito_Rapido_Sul', 'Muito_Rapido_Norte', 'Muito_Rapido_Norte', 'Muito_Rapido_Norte', 'Muito_Rapido_Norte', 'Muito_Rapido_Norte', 'Muito_Rapido_Norte', 'Muito_Rapido_Norte', 'Muito_Rapido_Oeste', 'Muito_Rapido_Oeste', 'Muito_Rapido_Oeste', 'Muito_Rapido_Norte', 'Muito_Rapido_Oeste']",2
