Cluster,Attribute,P-Value,Difference_%,Median_Cluster,Median_Rest
0_0,"Serum C20:5 n-3  (eicosapentaenoic acid, EPA)",0.0012656566940544647,-19.01840490797545,1.32,1.63
0_0,Serum C20:3 n-6,0.005428939922717469,18.900343642611677,3.46,2.91
0_0,"Serum Luteinizing hormone, LH (IU/L)",0.009089827825527773,-17.619047619047624,3.46,4.2
0_0,"DNA fragmentation index, DFI (%)",0.00912189462539232,33.33333333333333,24.0,18.0
0_0,Sperm C20:3 n-6,0.015582702695347861,-10.526315789473681,1.7,1.9
0_1,Sperm concentration (x10⁶/mL),4.390675208479343e-09,82.31292517006804,53.6,29.4
0_1,Total sperm count (x10⁶),2.1672985612201976e-08,21.93798449612404,157.3,129.0
0_1,"High DNA stainability, HDS (%)",1.6545492275837467e-06,-30.0,7.0,10.0
0_1,Age (years),4.139624818060809e-06,31.428571428571427,46.0,35.0
0_1,Sperm C17:0,4.6824491020899895e-06,-33.33333333333333,0.2,0.3
0_3,Abstinence time(days),0.014319995366924397,-16.666666666666664,2.5,3.0
0_3,Sperm C15:0 (pentadecanoic acid),0.022798021843378948,0.0,0.2,0.2
0_3,"Sperm C18:2 n-6 (Linoleic acid, LA)",0.026107848829274055,0.0,3.7,3.7
0_3,Cytoplasmic droplet (%),0.043011505800014616,40.0,7.0,5.0
0_3,Sperm C22:0,0.048198835190975516,17.647058823529417,2.0,1.7
1_1,Sperm C20:0,0.025679626248355535,16.666666666666664,0.7,0.6
1_1,Sperm C24:1 n-9,0.02980821787063227,0.0,1.7,1.7
1_1,Body mass index (kg/m²),0.030618443842943384,5.641025641025636,30.9,29.25
1_1,Abstinence time(days),0.04355323419164496,0.0,3.0,3.0
1_1,"Serum C18:3 n-6 (gamma-linoleic acid, GLA)",0.04565601671800727,-6.250000000000005,0.15,0.16
1_3,Progressive motility (%),2.5994188035288744e-06,26.923076923076923,33.0,26.0
1_3,Immotile sperm (%),4.863643319867521e-06,-5.128205128205128,37.0,39.0
1_3,Sperm C18:1 n-7 to n-11,1.402643493271715e-05,-4.1666666666666705,2.3,2.4
1_3,Sperm C24:1 n-9,7.62481436031584e-05,0.0,1.7,1.7
1_3,Body mass index (kg/m²),9.617525798122547e-05,8.561643835616438,31.7,29.2
1_4,"Serum C22:6 n-3 (docosahexaenoic acid, DHA)",1.7472527754913764e-05,42.56756756756756,8.44,5.92
1_4,"Serum anti-Müllerian hormone, AMH (pmol/L)",8.232668865977855e-05,-20.0,24.0,30.0
1_4,Body mass index (kg/m²),0.00011702376202671909,8.561643835616438,31.7,29.2
1_4,Serum C18:1 n-9 (oleic acid),0.00017644321667658786,-7.692307692307699,7.68,8.32
1_4,Sperm C24:1 n-9,0.0005614756996899354,23.52941176470589,2.1,1.7
2_1,"Serum C18:3 n-6 (gamma-linoleic acid, GLA)",0.00018462202012417637,75.00000000000001,0.28,0.16
2_1,Immotile sperm (%),0.0003233913412863258,-12.82051282051282,34.0,39.0
2_1,"Sperm C18:2 n-6 (Linoleic acid, LA)",0.0005421250132994625,-5.40540540540541,3.5,3.7
2_1,Sperm C20:0,0.0006463821693014454,-16.666666666666664,0.5,0.6
2_1,"Sperm C22:6,n3 (docosahexaenoic acid, DHA)",0.000834821916222097,24.37810945273631,25.0,20.1
2_3,Progressive motility (%),0.00010773562563640736,26.666666666666668,38.0,30.0
2_3,Sperm C18:1 n-7 to n-11,0.0038442227142750996,-12.499999999999993,2.1,2.4
2_3,Immotile sperm (%),0.004888397247933198,-20.51282051282051,31.0,39.0
2_3,"Serum C22:6 n-3 (docosahexaenoic acid, DHA)",0.006780227056324862,-17.9054054054054,4.86,5.92
2_3,Serum oestradiol (nmol/L),0.011184175800872786,7.142857142857128,0.15,0.14
2_4,Immotile sperm (%),9.704916085140365e-09,-51.28205128205128,19.0,39.0
2_4,"Serum Luteinizing hormone, LH (IU/L)",1.929462546298374e-08,-24.04761904761905,3.19,4.2
2_4,Serum C20:4 n-6,1.1971275776011369e-06,34.24657534246575,11.76,8.76
2_4,Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),2.7333198122727163e-06,-96.42857142857143,1.0,28.0
2_4,Non progressive sperm motility (%),1.621391560414579e-05,35.483870967741936,42.0,31.0
3_0,Immotile sperm (%),0.00012850338260838397,84.61538461538461,72.0,39.0
3_0,"Sperm C20:5 n-3 (eicosapentaenoic acid, EPA)",0.00021511788927155027,-28.571428571428577,0.05,0.07
3_0,Progressive motility (%),0.0002514781075845676,-63.33333333333333,11.0,30.0
3_0,Sperm C24:1 n-9,0.00038853831357192105,-35.29411764705881,1.1,1.7
3_0,Sperm C20:2 n-6,0.0014169345426607541,19.999999999999996,0.6,0.5
3_1,Serum total testosterone (nmol/L),0.00018479797320065705,12.195121951219514,18.4,16.4
3_1,"Serum Luteinizing hormone, LH (IU/L)",0.00030250276946834935,21.44578313253011,5.04,4.15
3_1,"Serum sex hormone-binding globulin, SHBG (nmol/L)",0.0007124391668338186,29.166666666666668,31.0,24.0
3_1,Body mass index (kg/m²),0.0008803274339734792,-3.3557046979865772,28.8,29.8
3_1,Serum total C18:1,0.0014171186233915734,1.1999999999999922,10.12,10.0
3_3,Serum total testosterone (nmol/L),4.781641118138918e-05,53.048780487804905,25.1,16.4
3_3,Body mass index (kg/m²),5.869492435398465e-05,-3.3557046979865772,28.8,29.8
3_3,Tail defects (%),0.0005871839086683028,-6.666666666666667,14.0,15.0
3_3,Sperm vitality (%),0.0006346945379626083,-3.4090909090909087,85.0,88.0
3_3,"Serum sex hormone-binding globulin, SHBG (nmol/L)",0.0012045546125203387,29.166666666666668,31.0,24.0
3_4,Serum oestradiol (nmol/L),0.044479722183763545,21.428571428571406,0.16999999999999998,0.14
4_0,Progressive motility (%),1.7075016225140432e-14,-48.484848484848484,17.0,33.0
4_0,Sperm C18:1 n-7 to n-11,1.4517774140775778e-11,13.043478260869579,2.6,2.3
4_0,Immotile sperm (%),2.5836144274302953e-10,5.128205128205128,41.0,39.0
4_0,Sperm concentration (x10⁶/mL),3.0924154570471866e-10,-32.65306122448979,19.8,29.4
4_0,Total sperm count (x10⁶),7.135755165588333e-09,-40.63188831741367,80.8,136.1
4_1,Sperm C18:0 (stearic acid),0.0015460681747783507,10.344827586206902,9.6,8.7
4_1,Sperm C20:3 n-6,0.003681162687633107,31.578947368421055,2.5,1.9
4_1,Sperm C16:1 n-7 (palmitoleic acid),0.0052207076275063245,-15.38461538461538,1.1,1.3
4_1,Sperm C17:0,0.01135197055775609,0.0,0.3,0.3
4_1,"Serum C18:3 n-6 (gamma-linoleic acid, GLA)",0.01849698543808896,-6.250000000000005,0.15,0.16
4_2,Ejaculate volume (mL),5.2661978788133725e-06,-52.77777777777778,1.7,3.6
4_2,Sperm concentration (x10⁶/mL),5.387058014107775e-06,229.93197278911563,97.0,29.4
4_2,Non progressive sperm motility (%),8.097052243261858e-06,-21.875,25.0,32.0
4_2,"High DNA stainability, HDS (%)",1.5956770400946397e-05,-40.0,6.0,10.0
4_2,Age (years),7.775040043225373e-05,25.71428571428571,44.0,35.0
4_3,Progressive motility (%),4.573772201765428e-05,-53.333333333333336,14.0,30.0
4_3,Immotile sperm (%),0.00032656099928387336,38.46153846153847,54.0,39.0
4_3,Sperm C15:0 (pentadecanoic acid),0.0006638456641286998,0.0,0.2,0.2
4_3,Serum C18:1 n-9 (oleic acid),0.0009186642791550532,13.341346153846146,9.43,8.32
4_3,Serum total C18:1,0.0048642663657321485,12.599999999999998,11.26,10.0
